,Business Name,Business Address,Business Phone Number
0,MILLS COUNTY MEAT COMPANY,"1119 Parker St, Goldthwaite, TX 76844",(325) 938-6052
1,Abdu Market,"46090 Michigan Ave, Canton, MI 48188",(734) 545 8040 | (734) 322-9240
2,ABDU RESTAURANT,"46090 Michigan Ave, Canton, MI 48188",(734) 335-7308
3,Abo Halal Market,"42468 Cherry Hill Rd, Canton, MI 48187",(313) 427-4858
4,Addys BBQ,"799 Elmont Road, Elmont",(516) 285-6000
5,Aden Live Poultry,"2731 W Lawrence Ave # 1, Chicago, IL 60625",(773) 275-1567
6,Adnan Halal Meat,"10160 West Broad Street, Glen Allen, VA 23060",(804) 249-4665
7,Affan Mini Market And Deli,"332 Chamberlain Ave, Paterson, NJ 07502",(862) 264-9394
8,Afghan Kabob,"6002 W. Dempster St, Morton Grove, IL 60053",(224) 534-7262
9,Aftab Supermarket,"144-01 Hillside Ave, Jamaica, NY 11435",(718) 301-8510
10,Ahmed Meat and Grocery,"6003 Dempster Street, Morton Grove, IL - 60053",(847) 581-1190
11,Ajwaah Sweets,"2453 W. Devon Ave., Chicago, IL 60645",(773) 262-4444
12,Al Bawadi Grill Bridgeview,"7216 W 87TH ST, BRIDGEVIEW, IL 60455",(708) 599-1999
13,Al Bawadi Grill Niles,"8501 DEMPSTER ST, NILES, IL 60714",(847) 957-1999
14,Al Dawajin,"1318 Centennial Ave, Piscataway, NJ 08854",zabihahalalchicken.com | (732) 427-9614
15,AL HALAL ZAIQA,"449 W North Ave, Chicago, IL 60610",(312) 763-6972
16,Al Haramain Restaurant,"24065 Orchard Lake Rd, Farmington, MI 48336",(248) 476-0300
17,Al Kawthar Poultry Inc.,"Stevens, Pennsylvania","(717) 863-9600, (717) 371-9460"
18,Al Maidah Cuisine,"184 Cambridge Street, Burlington, MA 01803",(781) 273-0111
19,Al Meezan Poultry,"52 Seafood Lane, Westminster, VT 05158",(617) 866-1156
20,Al Mezaan Meat & Grocery,"257 Hempstead Turnpike, Elmont, NY 11003",(516) 305-5829
21,Al Noor Halal Poultry,"204 20 Street, Brooklyn, NY 11232",(718) 499-0400
22,Al Noor Meat and Grocery,"2514 W. DEVON AVE, CHICAGO, IL 60659",(773) 274-6667
23,Al Safa (Restaurant),"3146 W Touhy Ave, Chicago, IL 60645",(773) 654-1664
24,Al Wahab Zabiha Foods,"Skokie, IL",(312) 217-3571
25,Al-Amin Grocery,"6403 N Artesian, Chicago, IL - 60645",(773) 465-9526
26,Al-Haramain International Food,"24065 Orchard Lake Rd, Farmington, MI 48336",(248) 476-0300
27,Al-Maa'edah Zabiha Halal Chicken,"5190 Main Street, South Fallsburg, NY – 12779",(845) 434-5051
28,Al-Medinah Restaurant,"10158 West Broad Street, Glen Allen, VA 23060",(804) 562-9470
29,Al-Tayyab Halal Meat & Grocery,"2753 W Devon Ave, Chicago, IL 60659",(773) 754-8450
30,Aladin Halal Meat,"495-14 South Broadway, Hicksville, NY 11801",(516) 595-7227
31,Albarakah USA,"160-02 Hillside Ave, Jamaica, NY 11432",(212) 475-1454
32,Ali Baba Kabab,"869 S ROSELLE RD, SCHAUMBURG, IL 60193",(630) 912-4499
33,Ali Nihari,"2548 W Devon Ave, Chicago, IL 60659",(773) 856-0203
34,Aliyans (Further Processed Products Labelled as Aliyans Only),"Franklin Park, IL",(847) 421-4041
35,Alshakarchi Sweet & Bakery,"1215 Bloomingdale Rd, Glendale Heights, IL 60139",(630) 517-8042
36,Alsham Supermarket,"1217 S Main St, Lombard, IL 60148",(331) 307-7153
37,AMANA HALAL LLC,www.amanahalalllc.com,sales@amanahalalllc.com
38,Amart and Halal Meat (formerly known as: Bismillah meat & grocery),"1964 Flatbush Avenue, Brooklyn, NY 11234",(718) 676-2777
39,Ameera Food,"6415 N Western Ave., Chicago, IL - 60645",(773) 338-8400
40,Angaara Restaurant,"646 S FRONTENAC ST, AURORA, IL 60504",(630) 499-9520
